"","hsCodeId","panjivaRecordId","hsCode"
"264",1178757,32695881,"390120; 390120; 390120; 390120; 390120; 3901.20, 3901.20, 3901.20, 3901.20, 3901.20"
"265",1178758,32695941,"; ; ; ; ;"
"266",1178759,32695961,"382478; 3824.78"
"267",3200777,34329123,"Classified: 8703.23"
"268",1178762,32696061,"292910; 292910; 2929.10, 2929.10"
"269",3200778,34329163,"Classified: 1901.10"
"270",1178764,32696101,"210690; 2106.90"
"271",1178765,32696141,"3907200000; 3907200000; 3907200000; 3907200000; 3907.20.00.00, 3907.20.00.00, 3907.20.00.00, 3907.20.00.00"
"272",3200779,34329183,"Classified: 7318.15"
"273",3200780,34329203,"Classified: 8414.80"
"274",3200781,34329243,"Classified: 1704.90"
"275",1178769,32695921,"291260; 2912.60"
"276",3200782,34329263,"Parsed: 3919.90.50.40; Parsed: 4013.10.00.10; Classified: 4402.90; Parsed: 4404.20.00.40; Parsed: 4415.20.00.00; Parsed: 4823.90.88.50"
"277",3200783,34329303,""
"278",1178772,32695781,"2934999000; 2934999000; 2934.99.90.00, 2934.99.90.00"
"279",3200784,34329383,"Classified: 2103.30"
"280",1178774,32696201,"392690; 3926.90"
"281",3200785,34329623,"Parsed: 2304.00; Parsed: 2304.00; Parsed: 2304.00; Parsed: 2304.00; Parsed: 2304.00; Parsed: 2304.00; Parsed: 2304.00; Parsed: 2304.00; Parsed: 2304.00; Parsed: 2304.00; Parsed: 2304.00"
"282",1178776,32696241,"848350; 8483.50"
"283",3200786,34329803,"Parsed: 0207.11; Classified: 0207.14"
"284",3200787,34329823,"Parsed: 4002.70"
"285",3200788,34329903,"Parsed: 0207.14"
"286",3200790,34330223,"Parsed: 9506.91; Parsed: 9506.91"
"287",3200791,34330263,"Parsed: 0808.10"
"288",1178781,32696341,"210410; 2104.10"
"289",3200792,34330383,"Parsed: 8703.23"
"290",3200793,34330523,"Parsed: 2204.29; Parsed: 2204.29; Parsed: 2204.29; Parsed: 2204.29"
"291",3200794,34330543,"Parsed: 0713.20; Parsed: 0713.20; Parsed: 0713.20; Parsed: 0713.20"
"292",3200795,34330563,"Parsed: 8703.23; Classified: 8703.23; Parsed: 8703.24"
"293",3200796,34330623,"Parsed: 0303.66"
"294",3200798,34330783,"Parsed: 8703.23"
"295",3200799,34330803,"Parsed: 0808.30.00"
"296",3200800,34330823,"Classified: 3920.10; Classified: 3920.10; Classified: 3920.10"
"297",3200801,34330963,"; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"
"298",3200802,34331203,"Parsed: 3903.11.00.00; Classified: 3915.90"
"299",3200803,34331223,"Parsed: 4707.20.00.20"
"300",3200804,34331243,"Classified: 6310.10"
"301",3200805,34331283,"Parsed: 2507.00.00.00; Parsed: 2507.00.00.00; Parsed: 2507.00.00.00; Parsed: 2507.00.00.00; Parsed: 2507.00.00.00"
"302",3200806,34331303,"Classified: 8507.20"
"303",1178797,32699661,"390110; ; 3901.10"
"304",3200807,34331323,"Parsed: 5402.20.00; Parsed: 5402.46.00"
"305",3200809,34331483,"Parsed: 2512.00; Classified: 3802.90"
"306",3200810,34331523,"Parsed: 0802.12.00.00"
"307",3200812,34331603,"Classified: 0802.12"
"308",3200813,34331643,"Parsed: 0802.12.00.00"
"309",3200814,34331683,"Parsed: 0802.12.00.00"
"310",3200816,34331763,"Classified: 8703.23"
"311",3200817,34331783,"Parsed: 0802.31"
"312",3200818,34331803,"Parsed: 0802.12.00.00"
"313",3200819,34331823,"Parsed: 3802.90; Parsed: 3802.90; Parsed: 3802.90; Parsed: 3802.90; Parsed: 3802.90; Parsed: 3802.90"
"314",3200823,34332123,"Classified: 0802.12"
